,SUBBASIN,Landuse Airport Compatibility Residential,Landuse Crossroads Mixed-Use Center,Landuse Downtown Regional Growth Center,Landuse General Commercial,Landuse Heavy Industrial,Landuse Light Industrial,Landuse Low-Scale Residential,Landuse Major Institutional Campus,Landuse Mid-Scale Residential,Landuse Multi-Family (High Density),Landuse Neighborhood Commercial,Landuse Neighborhood Mixed-Use Center,Landuse Parks and Open Space,Landuse Shoreline,Landuse Tacoma Mall Regional Growth Center,Landcover Pasture,Landcover Grass,Landcover Water,Landcover Impervious-roof,Landcover Impervious-nonRoof,Landcover Impervious-total,Age_of_Development,Pavement_Condition,Biodiversity,Urban_Heat,discharge_points
18,FS_09,0.0,0.0,0.009420258445348922,0.001775827193999742,0.0,0.0,0.5651811234833646,0.03490636217140402,0.17194891112142419,0.0,0.04224467163717654,0.09585852491470336,0.07866432103257867,0.0,0.0,0.3231500309695425,0.09323571630547874,0.0,0.20496448670520495,0.3228275312706825,0.5277920179758875,5.0,53.641258718486746,0.005047463874789766,29.30680921137518,0.0
19,FS_10,0.0,0.11396202931831186,0.0,0.0025150533602329183,0.0,0.0,0.5644718627591496,0.0,0.1843300919250056,0.010150354443349077,0.05809737648420007,0.007171774046112542,0.05930145766363842,0.0,0.0,0.30655666463032566,0.1269899294661077,0.0,0.18534552053770303,0.3185831637471204,0.5039286842848234,5.0,58.43414776058451,0.01526174341603335,29.014862499255184,3.0
20,FS_11,0.0,0.032802302751602924,0.0,0.00940009118327443,0.0,0.009026769195887909,0.6490618359213632,0.0,0.10511527253436288,0.00618316182794377,0.03230992770899026,0.0009659432099016327,0.15513469566667284,0.0,0.0,0.18659301984391297,0.2968786928114728,0.0,0.15039191328965132,0.22784485130082024,0.37823676459047156,4.973745393590315,60.23115151715272,0.05994478591528555,28.88130296471647,15.0
21,FS_12,0.0,0.0,0.3378686325424838,0.0,0.0,0.0,0.07664742824971499,0.0,0.007982909042666731,0.15152486928306094,0.0,0.12382496369948658,0.29241260189082824,0.00973859529175883,0.0,0.2779695972286494,0.06973507401318817,0.0,0.12235840953227022,0.4457259234782212,0.5680843330104914,5.0,58.31039388320221,0.014634956418773765,29.049586010485978,5.0
22,FS_13,0.0,0.0,0.08622852205895351,0.0,0.7896903561013621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12408112183968453,0.0,0.08089645752857542,0.0,0.003723535234120215,0.17809987990833703,0.736699629650574,0.914799509558911,4.999531994396296,50.369308300583924,0.0,28.70343002,3.0
23,FS_14,0.0,0.0,0.0,0.0,0.7973157539760083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2026842460239917,0.0,0.18620604642255895,0.00014057595879405957,0.02632117744480121,0.22327268853821705,0.5588277569616115,0.7821004454998285,4.9984554034498325,37.487918649649714,0.0,28.70343002,3.0
24,FS_15,0.0,0.0,0.0,0.0,0.6684907299723739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33150927002762604,0.0,0.03364139661094822,0.0032319840668390003,0.03896149780505419,0.22039861028251284,0.7037665112346458,0.9241651215171587,5.0,42.50499947818402,0.0,28.70343002,4.0
25,JC_01,0.0,0.0,0.0,0.0,0.0,0.0,0.9744824144825419,0.0,0.0,0.0,0.0,0.0,0.025517585517458103,0.0,0.0,0.1354259392165492,0.22805132270989234,0.0,0.17301872335007978,0.13550608227564384,0.3085248056257236,4.9322488017571615,69.06832231698006,0.13199793922484926,28.940437528578073,19.0
26,JC_02,0.0,0.0,0.0,0.0,0.0,0.0,0.6114822246221171,0.0,0.0,0.0,0.0,0.0,0.38851777537788285,0.0,0.0,0.09199450498521576,0.1534446351820407,0.0,0.10715701720818085,0.10852615741209698,0.21568317462027783,4.701497936375597,56.60794496679359,0.3312085473736063,28.322136720650235,9.0
27,JC_03,0.0,0.0,0.0,0.0,0.0,0.0,0.8428946376231637,0.0,0.06275813847863575,0.0,0.0943472238982005,0.0,0.0,0.0,0.0,0.23607824718047463,0.14805693700279068,0.0,0.25474496547633196,0.2737979259631589,0.5285428914394908,4.81547159466969,70.67615930153644,0.0,29.461424307250418,6.0
