,SUBBASIN,Forest/Trees,Pasture,Grass,Water,Impervious-roof,Impervious-nonRoof
42,JC_02,0.5388776852124657,0.09199450498521576,0.1534446351820407,,0.10715701720818085,0.10852615741209698
43,NE_06,0.001964367951979471,0.3778489880883257,0.07544743494723959,0.04538062099973314,0.06427025406440212,0.4350883339483201
44,FS_08,0.07814955912482208,0.2721053038866391,0.1580859035209713,,0.13554544309853975,0.3561137903690278
45,TF_03,0.016011908912680024,0.08832336573090674,0.03202184167956578,0.01776729334314517,0.09238642529979009,0.7534891650339122
46,LC_05,0.1344810776790452,0.2036079171480091,0.12615399311347153,,0.13421531591793637,0.4015416961415378
47,LP_06,0.7081735179398404,0.06458953705138569,0.16365083454211818,,0.022419441011338276,0.041166669455317384
48,FS_10,0.06252472161874323,0.30655666463032566,0.1269899294661077,,0.18534552053770303,0.3185831637471204
49,JC_01,0.3279979324478349,0.1354259392165492,0.22805132270989234,,0.17301872335007978,0.13550608227564384
50,LP_04,0.1004820619272407,0.16880560244597387,0.3470246384442393,,0.14736651047146368,0.23632118671108246
51,FL_09,0.11984921791567961,0.18583689354980004,0.253531461818054,,0.18291992344475563,0.25786250327171073
52,TF_06,0.021034693554723274,0.1338010807975797,0.14322586929657527,0.0703563938845458,0.06500814000611775,0.5665738224604583
53,FS_12,0.08421099574767095,0.2779695972286494,0.06973507401318817,,0.12235840953227022,0.4457259234782212
54,FS_09,0.055822234749091426,0.3231500309695425,0.09323571630547874,,0.20496448670520495,0.3228275312706825
55,NT_05,0.13336824671627356,0.20505636380334136,0.18659236417710745,0.0007056659198385657,0.18531790062470718,0.2889594587587319
56,FS_02,0.041862723292092,0.12338388387475344,0.04601477271993466,,0.24133342853280682,0.547405191580413
57,FS_06,0.017237388130332723,0.1756112333497339,0.10297238190708108,0.00481442154532761,0.18640793385530716,0.5129566412122176
58,FS_07,0.026059258837606254,0.18497774877462037,0.08305842386847431,0.0004357427541009345,0.22866907145649565,0.4767997543087025
59,NT_11,0.1342973117838082,0.12457196123581979,0.015756223149953313,0.009834256256623345,0.21191384362390084,0.5036264039498947
60,LC_03,0.2698450454120695,0.18057301072652476,0.15721989357009422,,0.054322065921925025,0.33803998436938654
61,NT_01,0.7144582834536354,0.07488864868135318,0.05900680423075194,0.02299666151087626,0.016078445162513486,0.11257115696086968
62,LP_05,0.2702344397752605,0.1422561344270998,0.22671762401152057,,0.1276440310141708,0.23314777077194834
63,FL_08,0.07999257865263389,0.2290465569310212,0.11636181543334131,,0.22235093024201524,0.3522481187409884
64,FL_01,0.16860221950929563,0.18246848874028151,0.20004920215928856,,0.17730261324687469,0.27157747634425955
65,TF_04,0.001011882816621185,0.07586471208405829,0.0379413000897148,0.006765365004172379,0.06225308596202694,0.8161636540434064
66,FL_10,0.1577677264007956,0.1505802399210793,0.06538953134370379,0.02353538917551576,0.20899450290256918,0.39373261025633643
