SUBBASIN,Airport Compatibility Residential,Crossroads Mixed-Use Center,Downtown Regional Growth Center,General Commercial,Heavy Industrial,Light Industrial,Low-Scale Residential,Major Institutional Campus,Mid-Scale Residential,Multi-Family (High Density),Neighborhood Commercial,Neighborhood Mixed-Use Center,Parks and Open Space,Shoreline,Tacoma Mall Regional Growth Center
JC_03,,,,,,,0.8428946376231637,,0.06275813847863575,,0.0943472238982005,,,,
LC_01,,0.16888302598548574,,0.0899147635878461,,,0.10485723215475476,0.19928630067006084,0.0903967869814259,0.16446665708704244,0.03333787842734866,0.0033512451486589455,0.1455061099573767,,
LC_02,,0.08014163270493933,,0.1057821483996325,,,0.4594869345032273,0.054520302560556004,0.18696646164636618,0.009347666346990682,0.009067374099574158,,0.09468747973871393,,
LC_03,,,,0.21271837706259358,,,0.11677914369065905,0.04189541062128886,0.009494346758769055,,,,0.6191127218666895,,
LC_04,,,,0.46847771834092516,,0.026762112632288868,,,0.17806214687868296,0.04999963179368043,,,0.2766983903544226,,
LC_05,,,,0.016201236286207052,0.09255097673621614,0.21511763838901585,0.03098714853249025,,0.18305227350874817,0.04732257386280278,0.05238506472877931,,0.3623830879557406,,
LC_06,,,,,,,,,0.009566705599871831,,,,0.9904332944001282,,
LP_01,,0.023783435679463425,0.19028347756939243,0.007379809432570955,0.37241808988720265,0.21800393106039853,,,0.0022511625088331927,,,,0.11252320703830428,0.07335688682383458,
LP_02,,0.11283097697683978,,0.06172899164111988,0.000956555619901338,0.003095085523526328,0.49737552611164615,,0.0814730803579256,,0.005451428088546337,0.04965106532868973,0.17924594038456992,0.008191349967234881,
LP_03,,,,,,,0.5970263465102643,,0.2320699758723333,,0.05373919923709098,0.01590647752923021,0.10125800085108135,,
LP_04,,0.06670070274799024,,,,,0.6375690436600997,,0.11565005180210593,0.03545352015517521,0.04668854196879792,,0.09793813966583095,,
LP_05,,0.05342247253624955,,,,,0.31260774756177423,,0.11145406859052115,0.18379555512680967,0.03815009243063591,,0.3005700637540095,,
LP_06,,,,,,,0.2011983681588372,,0.014488143678548313,0.00217560481197548,,,0.7821378833506389,,
NE_01,,,,,,,0.9173182443992651,,0.022250451403808522,,0.0049947387409789564,,0.05543656545594739,,
NE_02,,,,,,,0.5388386416544955,,,,,,0.37726020375989744,0.0839011545856072,
NE_03,,,,,0.001967876206878116,,0.6454308351096385,,0.010791995401936313,,0.006721582788399374,,0.2921813707200201,0.04290633977312769,
NE_04,,,,,0.09320948740466582,,0.4400481125713619,,0.02019854247050663,,0.013501036061228378,,0.38503424043443596,0.04800858105780138,
NE_05,,,,,0.7710592125630507,,4.430682189444959e-06,,,,,,0.07850671577597325,0.1504296409787866,
