DDT_hr,Vol_cf,Max_Inflow_cfs,Max_Depth_ft,Max_Storage_Vol_cf,Treated_mgal,Total_mgal,Capture_Efficiency_%,Flow_Balance_Error_%,design_storm_volume_cuft,vol_cuft,size_fraction,ddt_hr,capture_fraction
2.0,85000.0,32.09,0.92,78536.0,850.216,850.216,100.0,-0.0,68190.4575,85000.0,1.2465087215465593,2,1.0
2.0,90000.0,32.09,0.82,74020.0,850.216,850.216,100.0,-0.0,68190.4575,90000.0,1.3198327639904748,2,1.0
2.0,95000.0,32.09,0.73,69761.0,850.216,850.216,100.0,-0.0,68190.4575,95000.0,1.39315680643439,2,1.0
2.0,100000.0,32.09,0.66,65717.0,850.216,850.216,100.0,-0.0,68190.4575,100000.0,1.4664808488783052,2,1.0
2.0,125000.0,32.09,0.39,48327.0,850.216,850.216,100.0,-0.0,68190.4575,125000.0,1.8331010610978815,2,1.0
2.0,150000.0,32.09,0.24,35306.0,850.216,850.216,100.0,-0.0,68190.4575,150000.0,2.199721273317458,2,1.0
2.0,175000.0,32.09,0.15,26483.0,850.216,850.216,100.0,-0.0,68190.4575,175000.0,2.566341485537034,2,1.0
2.0,200000.0,32.09,0.11,21802.0,850.216,850.216,100.0,-0.0,68190.4575,200000.0,2.9329616977566104,2,1.0
2.0,225000.0,32.09,0.09,21094.0,850.216,850.216,100.0,-0.0,68190.4575,225000.0,3.2995819099761867,2,1.0
2.0,250000.0,32.09,0.08,21094.0,850.216,850.216,100.0,-0.0,68190.4575,250000.0,3.666202122195763,2,1.0
2.0,275000.0,32.09,0.08,21094.0,850.216,850.216,100.0,-0.0,68190.4575,275000.0,4.032822334415339,2,1.0
2.0,300000.0,32.09,0.07,21094.0,850.216,850.216,100.0,-0.0,68190.4575,300000.0,4.399442546634916,2,1.0
2.0,300000.0,32.09,0.07,21094.0,850.216,850.216,100.0,-0.0,68190.4575,305000.0,4.472766589078831,2,1.0
2.0,300000.0,32.09,0.07,21094.0,850.216,850.216,100.0,-0.0,68190.4575,0.0,0.0,3,0.0
3.0,1000.0,32.09,1.11,1107.0,176.986,850.21,20.816739393796823,0.0,68190.4575,1000.0,0.014664808488783052,3,0.20816739393796824
3.0,2000.0,32.09,1.11,2213.0,288.412,850.215,33.92224319730891,0.0,68190.4575,2000.0,0.029329616977566104,3,0.3392224319730891
3.0,3000.0,32.09,1.11,3318.0,373.378,850.215,43.91571543668366,0.0,68190.4575,3000.0,0.04399442546634916,3,0.4391571543668366
3.0,4000.0,32.09,1.11,4423.0,441.508,850.216,51.92892159168964,0.0,68190.4575,4000.0,0.05865923395513221,3,0.5192892159168964
3.0,5000.0,32.09,1.11,5527.0,497.345,850.216,58.49631152554174,0.0,68190.4575,5000.0,0.07332404244391526,3,0.5849631152554174
3.0,6000.0,32.09,1.1,6630.0,543.852,850.216,63.9663332611948,0.0,68190.4575,6000.0,0.08798885093269831,3,0.639663332611948
3.0,7000.0,32.09,1.1,7732.0,582.528,850.216,68.51529493681606,0.0,68190.4575,7000.0,0.10265365942148136,3,0.6851529493681606
3.0,8000.0,32.09,1.1,8834.0,615.345,850.216,72.37513761208916,0.0,68190.4575,8000.0,0.11731846791026442,3,0.7237513761208916
3.0,9000.0,32.09,1.1,9935.0,642.925,850.216,75.61901916689405,-0.0,68190.4575,9000.0,0.13198327639904747,3,0.7561901916689405
3.0,10000.0,32.09,1.1,11035.0,666.131,850.216,78.34844321913491,-0.0,68190.4575,10000.0,0.14664808488783052,3,0.7834844321913491
3.0,12500.0,32.09,1.1,13783.0,710.489,850.216,83.56570565597448,-0.0,68190.4575,12500.0,0.18331010610978815,3,0.8356570565597449
3.0,15000.0,32.09,1.1,16527.0,741.91,850.216,87.26135476161352,-0.0,68190.4575,15000.0,0.2199721273317458,3,0.8726135476161352
3.0,17500.0,32.09,1.1,19266.0,764.816,850.216,89.95549366278686,-0.0,68190.4575,17500.0,0.2566341485537034,3,0.8995549366278687
3.0,20000.0,32.09,1.1,22000.0,781.766,850.216,91.94910469810024,-0.0,68190.4575,20000.0,0.29329616977566103,3,0.9194910469810025
3.0,22500.0,32.09,1.1,24731.0,794.892,850.216,93.49294767447331,-0.0,68190.4575,22500.0,0.3299581909976187,3,0.9349294767447331
3.0,25000.0,32.09,1.1,27456.0,805.175,850.216,94.70240503589676,-0.0,68190.4575,25000.0,0.3666202122195763,3,0.9470240503589676
3.0,27500.0,32.09,1.1,30178.0,813.215,850.216,95.64804708450558,-0.0,68190.4575,27500.0,0.4032822334415339,3,0.9564804708450558
3.0,30000.0,32.09,1.1,32895.0,819.462,850.216,96.38280154690102,-0.0,68190.4575,30000.0,0.4399442546634916,3,0.9638280154690102
3.0,32500.0,32.09,1.1,35607.0,824.559,850.216,96.98229626353772,-0.0,68190.4575,32500.0,0.4766062758854492,3,0.9698229626353772
3.0,35000.0,32.09,1.09,38316.0,829.028,850.216,97.50792739727316,-0.0,68190.4575,35000.0,0.5132682971074068,3,0.9750792739727316
3.0,37500.0,32.09,1.09,41019.0,832.652,850.216,97.93417202216848,-0.0,68190.4575,37500.0,0.5499303183293645,3,0.9793417202216849
3.0,40000.0,32.09,1.09,43719.0,835.517,850.216,98.27114521486304,-0.0,68190.4575,40000.0,0.5865923395513221,3,0.9827114521486304
3.0,42500.0,32.09,1.09,46414.0,837.877,850.216,98.548721736594,-0.0,68190.4575,42500.0,0.6232543607732797,3,0.98548721736594
3.0,45000.0,32.09,1.09,49104.0,839.818,850.216,98.77701666400068,-0.0,68190.4575,45000.0,0.6599163819952374,3,0.9877701666400068
3.0,47500.0,32.09,1.09,51790.0,841.532,850.216,98.97861249376628,-0.0,68190.4575,47500.0,0.696578403217195,3,0.9897861249376628
3.0,50000.0,32.09,1.09,54472.0,843.017,850.216,99.15327399155038,-0.0,68190.4575,50000.0,0.7332404244391526,3,0.9915327399155038
3.0,55000.0,32.09,1.09,59822.0,845.358,850.216,99.42861578704704,-0.0,68190.4575,55000.0,0.8065644668830678,3,0.9942861578704704
3.0,60000.0,32.09,1.09,65155.0,847.108,850.216,99.63444583494076,-0.0,68190.4575,60000.0,0.8798885093269831,3,0.9963444583494077
3.0,65000.0,32.09,1.08,70467.0,848.433,850.216,99.79028858548888,-0.0,68190.4575,65000.0,0.9532125517708984,3,0.9979028858548888
3.0,70000.0,32.09,1.08,75697.0,849.216,850.216,99.88238282977504,-0.0,68190.4575,70000.0,1.0265365942148137,3,0.9988238282977504
3.0,75000.0,32.09,1.07,80592.0,849.702,850.216,99.93954477450436,-0.0,68190.4575,75000.0,1.099860636658729,3,0.9993954477450435
3.0,80000.0,32.09,1.06,85144.0,849.878,850.216,99.96024539646396,-0.0,68190.4575,80000.0,1.1731846791026441,3,0.9996024539646396
3.0,85000.0,32.09,1.05,89530.0,849.968,850.216,99.9708309417842,-0.0,68190.4575,85000.0,1.2465087215465593,3,0.9997083094178421
3.0,90000.0,32.09,1.04,93737.0,850.051,850.216,99.98059316691288,-0.0,68190.4575,90000.0,1.3198327639904748,3,0.9998059316691288
3.0,95000.0,32.09,1.03,97685.0,850.126,850.216,99.98941445467976,-0.0,68190.4575,95000.0,1.39315680643439,3,0.9998941445467976
3.0,100000.0,32.09,1.01,100978.0,850.198,850.216,99.99788289093595,-0.0,68190.4575,100000.0,1.4664808488783052,3,0.9999788289093595
3.0,125000.0,32.09,0.67,83979.0,850.216,850.216,100.0,-0.0,68190.4575,125000.0,1.8331010610978815,3,1.0
3.0,150000.0,32.09,0.47,70030.0,850.216,850.216,100.0,-0.0,68190.4575,150000.0,2.199721273317458,3,1.0
3.0,175000.0,32.09,0.33,58459.0,850.216,850.216,100.0,-0.0,68190.4575,175000.0,2.566341485537034,3,1.0
3.0,200000.0,32.09,0.24,48961.0,850.216,850.216,100.0,-0.0,68190.4575,200000.0,2.9329616977566104,3,1.0
3.0,225000.0,32.09,0.18,41427.0,850.216,850.216,100.0,-0.0,68190.4575,225000.0,3.2995819099761867,3,1.0
3.0,250000.0,32.09,0.14,35804.0,850.216,850.216,100.0,-0.0,68190.4575,250000.0,3.666202122195763,3,1.0
3.0,275000.0,32.09,0.12,32060.000000000004,850.216,850.216,100.0,-0.0,68190.4575,275000.0,4.032822334415339,3,1.0
3.0,300000.0,32.09,0.1,30229.0,850.216,850.216,100.0,-0.0,68190.4575,300000.0,4.399442546634916,3,1.0
3.0,300000.0,32.09,0.1,30229.0,850.216,850.216,100.0,-0.0,68190.4575,305000.0,4.472766589078831,3,1.0
3.0,300000.0,32.09,0.1,30229.0,850.216,850.216,100.0,-0.0,68190.4575,0.0,0.0,6,0.0
6.0,1000.0,32.09,1.11,1107.0,109.492,850.208,12.878260378636758,0.0,68190.4575,1000.0,0.014664808488783052,6,0.12878260378636758
6.0,2000.0,32.09,1.11,2213.0,187.42,850.203,22.044147103691703,0.0,68190.4575,2000.0,0.029329616977566104,6,0.22044147103691702
6.0,3000.0,32.09,1.11,3319.0,252.757,850.211,29.72873792505625,0.0,68190.4575,3000.0,0.04399442546634916,6,0.29728737925056253
6.0,4000.0,32.09,1.11,4425.0,309.113,850.215,36.35703910187423,0.0,68190.4575,4000.0,0.05865923395513221,6,0.3635703910187423
6.0,5000.0,32.09,1.11,5530.0,358.553,850.215,42.17203883723528,0.0,68190.4575,5000.0,0.07332404244391526,6,0.42172038837235276
6.0,6000.0,32.09,1.11,6635.0,402.262,850.215,47.31297377722106,0.0,68190.4575,6000.0,0.08798885093269831,6,0.4731297377722106
6.0,7000.0,32.09,1.11,7740.0,441.164,850.215,51.88852231494386,-0.0,68190.4575,7000.0,0.10265365942148136,6,0.5188852231494386
6.0,8000.0,32.09,1.11,8844.0,475.742,850.215,55.95549361043971,0.0,68190.4575,8000.0,0.11731846791026442,6,0.5595549361043971
6.0,9000.0,32.09,1.11,9948.0,506.761,850.215,59.60386490475938,0.0,68190.4575,9000.0,0.13198327639904747,6,0.5960386490475937
6.0,10000.0,32.09,1.11,11051.0,534.62,850.215,62.88056550401957,-0.0,68190.4575,10000.0,0.14664808488783052,6,0.6288056550401957
6.0,12500.0,32.09,1.1,13807.0,592.684,850.215,69.70989690842903,-0.0,68190.4575,12500.0,0.18331010610978815,6,0.6970989690842903
6.0,15000.0,32.09,1.1,16561.0,637.863,850.215,75.02372929200261,-0.0,68190.4575,15000.0,0.2199721273317458,6,0.7502372929200262
6.0,17500.0,32.09,1.1,19313.0,673.079,850.215,79.16574043036172,-0.0,68190.4575,17500.0,0.2566341485537034,6,0.7916574043036172
6.0,20000.0,32.09,1.1,22062.0,700.478,850.215,82.38833706768287,-0.0,68190.4575,20000.0,0.29329616977566103,6,0.8238833706768287
6.0,22500.0,32.09,1.1,24809.0,722.305,850.215,84.95557006169027,-0.0,68190.4575,22500.0,0.3299581909976187,6,0.8495557006169027
6.0,25000.0,32.09,1.1,27553.0,740.273,850.215,87.06891786195257,-0.0,68190.4575,25000.0,0.3666202122195763,6,0.8706891786195257
6.0,27500.0,32.09,1.1,30294.0,755.033,850.215,88.80494933634434,-0.0,68190.4575,27500.0,0.4032822334415339,6,0.8880494933634434
6.0,30000.0,32.09,1.1,33034.0,767.363,850.215,90.2551707509277,-0.0,68190.4575,30000.0,0.4399442546634916,6,0.902551707509277
6.0,32500.0,32.09,1.1,35770.0,777.693,850.215,91.4701575483848,-0.0,68190.4575,32500.0,0.4766062758854492,6,0.914701575483848
6.0,35000.0,32.09,1.1,38505.0,786.533,850.215,92.50989455608288,-0.0,68190.4575,35000.0,0.5132682971074068,6,0.9250989455608288
6.0,37500.0,32.09,1.1,41236.0,793.922,850.215,93.37896884905582,-0.0,68190.4575,37500.0,0.5499303183293645,6,0.9337896884905582
6.0,40000.0,32.09,1.1,43966.0,800.36,850.215,94.13618908158524,-0.0,68190.4575,40000.0,0.5865923395513221,6,0.9413618908158524
6.0,42500.0,32.09,1.1,46692.0,805.858,850.215,94.78284904406532,-0.0,68190.4575,42500.0,0.6232543607732797,6,0.9478284904406532
6.0,45000.0,32.09,1.1,49417.0,810.688,850.215,95.35094064442524,-0.0,68190.4575,45000.0,0.6599163819952374,6,0.9535094064442524
6.0,47500.0,32.09,1.1,52139.0,814.925,850.215,95.8492851808072,-0.0,68190.4575,47500.0,0.696578403217195,6,0.958492851808072
6.0,50000.0,32.09,1.1,54858.0,818.721,850.215,96.29576048411283,-0.0,68190.4575,50000.0,0.7332404244391526,6,0.9629576048411284
6.0,55000.0,32.09,1.1,60289.0,825.395,850.215,97.08073840146317,-0.0,68190.4575,55000.0,0.8065644668830678,6,0.9708073840146316
6.0,60000.0,32.09,1.1,65711.0,830.707,850.215,97.70552154455048,-0.0,68190.4575,60000.0,0.8798885093269831,6,0.9770552154455048
6.0,65000.0,32.09,1.09,71122.0,834.889,850.215,98.1973971289615,-0.0,68190.4575,65000.0,0.9532125517708984,6,0.9819739712896149
6.0,70000.0,32.09,1.09,76524.0,837.909,850.215,98.55260140082214,-0.0,68190.4575,70000.0,1.0265365942148137,6,0.9855260140082214
6.0,75000.0,32.09,1.09,81916.0,840.333,850.215,98.83770575677916,-0.0,68190.4575,75000.0,1.099860636658729,6,0.9883770575677916
6.0,80000.0,32.09,1.09,87297.0,842.393,850.215,99.0799974124192,-0.0,68190.4575,80000.0,1.1731846791026441,6,0.9907999741241921
6.0,85000.0,32.09,1.09,92668.0,844.081,850.215,99.27853542927376,-0.0,68190.4575,85000.0,1.2465087215465593,6,0.9927853542927376
6.0,90000.0,32.09,1.09,98019.0,845.588,850.215,99.4557847132784,-0.0,68190.4575,90000.0,1.3198327639904748,6,0.9945578471327841
6.0,95000.0,32.09,1.09,103312.0,846.787,850.215,99.5968078662456,-0.0,68190.4575,95000.0,1.39315680643439,6,0.995968078662456
6.0,100000.0,32.09,1.08,108453.0,847.627,850.215,99.69560640543862,-0.0,68190.4575,100000.0,1.4664808488783052,6,0.9969560640543862
6.0,125000.0,32.09,1.05,131135.0,849.952,850.215,99.9690666478479,-0.0,68190.4575,125000.0,1.8331010610978815,6,0.9996906664784789
6.0,150000.0,32.09,0.93,139583.0,850.215,850.215,100.0,-0.0,68190.4575,150000.0,2.199721273317458,6,1.0
6.0,175000.0,32.09,0.7,123257.0,850.215,850.215,100.0,-0.0,68190.4575,175000.0,2.566341485537034,6,1.0
6.0,200000.0,32.09,0.56,111678.0,850.215,850.215,100.0,-0.0,68190.4575,200000.0,2.9329616977566104,6,1.0
6.0,225000.0,32.09,0.46,102486.0,850.215,850.215,100.0,-0.0,68190.4575,225000.0,3.2995819099761867,6,1.0
6.0,250000.0,32.09,0.38,94852.0,850.215,850.215,100.0,-0.0,68190.4575,250000.0,3.666202122195763,6,1.0
6.0,275000.0,32.09,0.32,88119.0,850.215,850.215,100.0,-0.0,68190.4575,275000.0,4.032822334415339,6,1.0
6.0,300000.0,32.09,0.27,82090.0,850.215,850.215,100.0,-0.0,68190.4575,300000.0,4.399442546634916,6,1.0
6.0,300000.0,32.09,0.27,82090.0,850.215,850.215,100.0,-0.0,68190.4575,305000.0,4.472766589078831,6,1.0
6.0,300000.0,32.09,0.27,82090.0,850.215,850.215,100.0,-0.0,68190.4575,0.0,0.0,12,0.0
