vol_cuft,size_fraction,ddt_hr,capture_fraction
250000.0,3.6662,24,0.9989
275000.0,4.0328,24,0.9998
300000.0,4.3994,24,1.0
,0.0,36,0.0
1000.0,0.0147,36,0.034
2000.0,0.0293,36,0.0634
3000.0,0.044,36,0.091
4000.0,0.0587,36,0.1175
5000.0,0.0733,36,0.1425
7500.0,0.11,36,0.201
10000.0,0.1466,36,0.2545
12500.0,0.1833,36,0.304
15000.0,0.22,36,0.35
17500.0,0.2566,36,0.3927
20000.0,0.2933,36,0.4318
22500.0,0.33,36,0.4679
25000.0,0.3666,36,0.5017
27500.0,0.4033,36,0.5332
30000.0,0.4399,36,0.5622
40000.0,0.5866,36,0.6574
50000.0,0.7332,36,0.731
60000.0,0.8799,36,0.7886
70000.0,1.0265,36,0.8337
80000.0,1.1732,36,0.8674
90000.0,1.3198,36,0.8931
100000.0,1.4665,36,0.9127
125000.0,1.8331,36,0.9429
150000.0,2.1997,36,0.9619
175000.0,2.5663,36,0.9746
200000.0,2.933,36,0.9833
225000.0,3.2996,36,0.9887
250000.0,3.6662,36,0.9928
275000.0,4.0328,36,0.996
300000.0,4.3994,36,0.998
,0.0,48,0.0
1000.0,0.0147,48,0.0274
2000.0,0.0293,48,0.0517
3000.0,0.044,48,0.0746
4000.0,0.0587,48,0.0964
5000.0,0.0733,48,0.1176
7500.0,0.11,48,0.1674
10000.0,0.1466,48,0.2136
12500.0,0.1833,48,0.2568
15000.0,0.22,48,0.2975
17500.0,0.2566,48,0.336
20000.0,0.2933,48,0.3721
22500.0,0.33,48,0.4059
25000.0,0.3666,48,0.4375
27500.0,0.4033,48,0.4674
30000.0,0.4399,48,0.4953
40000.0,0.5866,48,0.5898
50000.0,0.7332,48,0.6645
60000.0,0.8799,48,0.7257
70000.0,1.0265,48,0.7757
80000.0,1.1732,48,0.8172
90000.0,1.3198,48,0.8508
100000.0,1.4665,48,0.8772
125000.0,1.8331,48,0.9222
150000.0,2.1997,48,0.9456
175000.0,2.5663,48,0.9617
200000.0,2.933,48,0.9724
225000.0,3.2996,48,0.9807
250000.0,3.6662,48,0.9868
275000.0,4.0328,48,0.9914
300000.0,4.3994,48,0.9947
,0.0,72,0.0
1000.0,0.0147,72,0.0203
2000.0,0.0293,72,0.0383
3000.0,0.044,72,0.056
4000.0,0.0587,72,0.0727
5000.0,0.0733,72,0.0894
7500.0,0.11,72,0.1285
10000.0,0.1466,72,0.1657
12500.0,0.1833,72,0.2007
15000.0,0.22,72,0.2342
17500.0,0.2566,72,0.2661
20000.0,0.2933,72,0.2969
22500.0,0.33,72,0.326
25000.0,0.3666,72,0.354
27500.0,0.4033,72,0.3806
30000.0,0.4399,72,0.4061
40000.0,0.5866,72,0.496
50000.0,0.7332,72,0.57
60000.0,0.8799,72,0.631
70000.0,1.0265,72,0.6838
80000.0,1.1732,72,0.7306
90000.0,1.3198,72,0.7695
100000.0,1.4665,72,0.8027
125000.0,1.8331,72,0.8683
150000.0,2.1997,72,0.9116
175000.0,2.5663,72,0.9373
200000.0,2.933,72,0.9531
225000.0,3.2996,72,0.9643
250000.0,3.6662,72,0.973
275000.0,4.0328,72,0.9803
300000.0,4.3994,72,0.9859
,0.0,96,0.0
1000.0,0.0147,96,0.0162
2000.0,0.0293,96,0.0311
3000.0,0.044,96,0.0455
4000.0,0.0587,96,0.0596
5000.0,0.0733,96,0.0733
7500.0,0.11,96,0.1061
10000.0,0.1466,96,0.1373
12500.0,0.1833,96,0.1674
15000.0,0.22,96,0.1961
17500.0,0.2566,96,0.2236
20000.0,0.2933,96,0.2505
22500.0,0.33,96,0.2761
25000.0,0.3666,96,0.3008
27500.0,0.4033,96,0.3248
30000.0,0.4399,96,0.3478
40000.0,0.5866,96,0.4314
50000.0,0.7332,96,0.5029
60000.0,0.8799,96,0.5643
70000.0,1.0265,96,0.6167
80000.0,1.1732,96,0.6625
90000.0,1.3198,96,0.7038
100000.0,1.4665,96,0.7404
125000.0,1.8331,96,0.8144
150000.0,2.1997,96,0.8683
175000.0,2.5663,96,0.9058
200000.0,2.933,96,0.9324
225000.0,3.2996,96,0.9484
250000.0,3.6662,96,0.9601
275000.0,4.0328,96,0.9689
300000.0,4.3994,96,0.9763
,0.0,120,0.0
1000.0,0.0147,120,0.0135
2000.0,0.0293,120,0.0262
3000.0,0.044,120,0.0384
4000.0,0.0587,120,0.0508
5000.0,0.0733,120,0.0626
10000.0,0.1466,120,0.1182
15000.0,0.22,120,0.17
20000.0,0.2933,120,0.2183
25000.0,0.3666,120,0.2636
30000.0,0.4399,120,0.3059
55000.0,0.8066,120,0.4822
80000.0,1.1732,120,0.6107
105000.0,1.5398,120,0.7049
130000.0,1.9064,120,0.7791
155000.0,2.273,120,0.8364
180000.0,2.6397,120,0.8796
