vol_cuft,size_fraction,ddt_hr,capture_fraction
22500.0,0.3068,72,0.3288
25000.0,0.3409,72,0.3573
27500.0,0.375,72,0.3844
30000.0,0.4091,72,0.4102
40000.0,0.5455,72,0.5024
50000.0,0.6819,72,0.5801
60000.0,0.8183,72,0.6455
70000.0,0.9546,72,0.701
80000.0,1.091,72,0.7482
90000.0,1.2274,72,0.7888
100000.0,1.3638,72,0.8238
125000.0,1.7047,72,0.8856
150000.0,2.0457,72,0.9257
175000.0,2.3866,72,0.9518
200000.0,2.7275,72,0.9686
225000.0,3.0685,72,0.979
250000.0,3.4094,72,0.9853
275000.0,3.7504,72,0.9893
300000.0,4.0913,72,0.9919
,0.0,96,0.0
1000.0,0.0136,96,0.016
2000.0,0.0273,96,0.0308
3000.0,0.0409,96,0.0452
4000.0,0.0546,96,0.0592
5000.0,0.0682,96,0.0729
7500.0,0.1023,96,0.1057
10000.0,0.1364,96,0.1373
12500.0,0.1705,96,0.1682
15000.0,0.2046,96,0.1974
17500.0,0.2387,96,0.2258
20000.0,0.2728,96,0.2532
22500.0,0.3068,96,0.2792
25000.0,0.3409,96,0.3042
27500.0,0.375,96,0.3287
30000.0,0.4091,96,0.3522
40000.0,0.5455,96,0.4371
50000.0,0.6819,96,0.5106
60000.0,0.8183,96,0.574
70000.0,0.9546,96,0.6295
80000.0,1.091,96,0.6786
90000.0,1.2274,96,0.7222
100000.0,1.3638,96,0.7608
125000.0,1.7047,96,0.8371
150000.0,2.0457,96,0.8887
175000.0,2.3866,96,0.9235
200000.0,2.7275,96,0.948
225000.0,3.0685,96,0.9651
250000.0,3.4094,96,0.9767
275000.0,3.7504,96,0.9836
300000.0,4.0913,96,0.988
,0.0,120,0.0
1000.0,0.0136,120,0.0134
2000.0,0.0273,120,0.0259
3000.0,0.0409,120,0.0381
4000.0,0.0546,120,0.0504
5000.0,0.0682,120,0.0621
10000.0,0.1364,120,0.1177
15000.0,0.2046,120,0.1706
20000.0,0.2728,120,0.2204
25000.0,0.3409,120,0.2669
30000.0,0.4091,120,0.3101
55000.0,0.7501,120,0.4897
80000.0,1.091,120,0.6224
105000.0,1.432,120,0.7254
130000.0,1.7729,120,0.8029
155000.0,2.1138,120,0.8607
180000.0,2.4548,120,0.9008
205000.0,2.7957,120,0.9299
230000.0,3.1367,120,0.9515
255000.0,3.4776,120,0.9661
280000.0,3.8186,120,0.9765
305000.0,4.1595,120,0.984
,0.0,180,0.0
1000.0,0.0136,180,0.0095
2000.0,0.0273,180,0.0191
3000.0,0.0409,180,0.028
4000.0,0.0546,180,0.0372
5000.0,0.0682,180,0.0459
10000.0,0.1364,180,0.0885
15000.0,0.2046,180,0.1291
20000.0,0.2728,180,0.1684
25000.0,0.3409,180,0.2056
30000.0,0.4091,180,0.2412
55000.0,0.7501,180,0.3959
80000.0,1.091,180,0.5178
105000.0,1.432,180,0.6189
130000.0,1.7729,180,0.7033
155000.0,2.1138,180,0.7723
180000.0,2.4548,180,0.8263
205000.0,2.7957,180,0.8685
230000.0,3.1367,180,0.9016
255000.0,3.4776,180,0.9268
280000.0,3.8186,180,0.946
305000.0,4.1595,180,0.9602
,0.0,240,0.0
1000.0,0.0136,240,0.0079
2000.0,0.0273,240,0.015
3000.0,0.0409,240,0.0225
4000.0,0.0546,240,0.0294
5000.0,0.0682,240,0.0368
10000.0,0.1364,240,0.0716
15000.0,0.2046,240,0.1051
20000.0,0.2728,240,0.137
25000.0,0.3409,240,0.1684
30000.0,0.4091,240,0.1985
55000.0,0.7501,240,0.3344
80000.0,1.091,240,0.4453
105000.0,1.432,240,0.5391
130000.0,1.7729,240,0.6223
155000.0,2.1138,240,0.6931
180000.0,2.4548,240,0.7545
205000.0,2.7957,240,0.8065
230000.0,3.1367,240,0.8466
255000.0,3.4776,240,0.8802
280000.0,3.8186,240,0.9086
305000.0,4.1595,240,0.9294
,0.0,360,0.0
1000.0,0.0136,360,0.0056
2000.0,0.0273,360,0.0105
3000.0,0.0409,360,0.0159
4000.0,0.0546,360,0.0213
5000.0,0.0682,360,0.0267
10000.0,0.1364,360,0.0517
15000.0,0.2046,360,0.0767
20000.0,0.2728,360,0.1005
25000.0,0.3409,360,0.1242
30000.0,0.4091,360,0.1469
55000.0,0.7501,360,0.2545
80000.0,1.091,360,0.3491
105000.0,1.432,360,0.4318
130000.0,1.7729,360,0.5052
155000.0,2.1138,360,0.5725
180000.0,2.4548,360,0.6335
205000.0,2.7957,360,0.6887
230000.0,3.1367,360,0.7385
255000.0,3.4776,360,0.7824
280000.0,3.8186,360,0.8204
305000.0,4.1595,360,0.8527
,0.0,480,0.0
1000.0,0.0136,480,0.0044
2000.0,0.0273,480,0.0087
3000.0,0.0409,480,0.0124
4000.0,0.0546,480,0.0166
5000.0,0.0682,480,0.0208
10000.0,0.1364,480,0.0409
15000.0,0.2046,480,0.0606
20000.0,0.2728,480,0.08
25000.0,0.3409,480,0.0989
30000.0,0.4091,480,0.1174
55000.0,0.7501,480,0.2045
80000.0,1.091,480,0.2856
105000.0,1.432,480,0.3588
130000.0,1.7729,480,0.4251
155000.0,2.1138,480,0.4857
180000.0,2.4548,480,0.5427
205000.0,2.7957,480,0.5955
230000.0,3.1367,480,0.6449
255000.0,3.4776,480,0.6909
280000.0,3.8186,480,0.7328
305000.0,4.1595,480,0.7715
,0.0,720,0.0
1000.0,0.0136,720,0.0031
2000.0,0.0273,720,0.0062
3000.0,0.0409,720,0.0092
4000.0,0.0546,720,0.0116
5000.0,0.0682,720,0.0146
10000.0,0.1364,720,0.0294
15000.0,0.2046,720,0.0433
20000.0,0.2728,720,0.057
25000.0,0.3409,720,0.0706
30000.0,0.4091,720,0.0846
55000.0,0.7501,720,0.1483
80000.0,1.091,720,0.2089
105000.0,1.432,720,0.266
130000.0,1.7729,720,0.3203
155000.0,2.1138,720,0.371
180000.0,2.4548,720,0.4195
205000.0,2.7957,720,0.4655
230000.0,3.1367,720,0.5095
255000.0,3.4776,720,0.5516
280000.0,3.8186,720,0.5913
305000.0,4.1595,720,0.6292
