,node_id,altid,facilitytype,commonname,facilitydetail,flowcontrol,infiltrated,waterquality,flowcontroltype,waterqualitytype,facility_type,design_storm_depth_inches,tributary_area_tc_min,total_volume_cuft,area_sqft,inf_rate_inhr,retention_volume_cuft,media_filtration_rate_inhr,hsg,minimum_retention_pct_override,treatment_rate_cfs,depth_ft,captured_pct,retained_pct
247,SWFA-100344,SWFA-100344,Holding Basin,Ward's Lake,,,,,IP,,no_treatment,,,,,,,,,,,,91,0
248,SWFA-100345,SWFA-100345,Holding Basin,Leach Holding,,,,,IP,,no_treatment,,,,,,,,,,,,91,0
249,SWFA-100346,SWFA-100346,Tank,Loma Court,Detention,,,,IP,,dry_extended_detention_simple,,,,,,,,,,,,91,20
250,SWFA-100347,SWFA-100347,Vault,Vista View,Conveyance,,,,,Basic,no_treatment,,,,,,,,,,,,91,0
251,SWFA-100348,SWFA-100348,Oil Water Separator,Landfill,API,,,,,Oil,oil_water_separator_simple,,,,,,,,,,,,91,0
252,SWFA-100349,SWFA-100349,Vault,Murray Morgan wetvault,Wet,,,,,Basic,no_treatment,,,,,,,,,,,,91,0
253,SWFA-100350,SWFA-100350,Swale,Trolly Court,Vegetated Filter Strips,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
254,SWFA-100351,SWFA-100351,Swale,"Hylebos Bridge
Hylebos Bridge
Hylebos Bridge
",Media Filter Strips,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
255,SWFA-100352,SWFA-100352,Swale,Hylebos Bridge,Media Filter Strips,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
256,SWFA-100353,SWFA-100353,Swale,Hylebos Bridge,Media Filter Strips,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
257,SWFA-100354,SWFA-100354,Vegetated Box,ETI Building,Filterra,,,,,,vegetated_box_simple,,,,,,,,,,,,91,0
258,SWFA-100355,SWFA-100355,Vegetated Box,Walmart,Filterra,,,,,,vegetated_box_simple,,,,,,,,,,,,91,0
259,SWFA-100356,SWFA-100356,Media Filter,Baker Middle School,Stormfilter,,,,,Basic,media_filter_simple,,,,,,,,,,,,91,0
260,SWFA-100357,SWFA-100357,Media Filter,East Q Street,Stormfilter,,,,,Basic,media_filter_simple,,,,,,,,,,,,91,0
