Tc_min,CutoffQ_cfs,Max_Inflow_cfs,Max_Depth_ft,Treated_mgal,Total_mgal,Capture_Efficiency_%,Flow_Balance_Error_%
60,0.16,0.6,0.0,33.6,33.9,99.11504424778762,0.0
60,0.18,0.6,0.0,33.7,33.9,99.41002949852509,0.0
60,0.2,0.6,0.0,33.7,33.9,99.41002949852509,0.0
60,0.22,0.6,0.0,33.8,33.9,99.70501474926253,0.0
60,0.24,0.6,0.0,33.8,33.9,99.70501474926253,0.0
60,0.26,0.6,0.0,33.8,33.9,99.70501474926253,0.0
60,0.28,0.6,0.0,33.8,33.9,99.70501474926253,0.0
60,0.3,0.6,0.0,33.9,33.9,100.0,0.0
60,0.32,0.6,0.0,33.9,33.9,100.0,0.0
60,0.34,0.6,0.0,33.9,33.9,100.0,0.0
60,0.36,0.6,0.0,33.9,33.9,100.0,0.0
60,0.38,0.6,0.0,33.9,33.9,100.0,0.0
60,0.4,0.6,0.0,33.9,33.9,100.0,0.0
60,0.45,0.6,0.0,33.9,33.9,100.0,0.0
60,0.5,0.6,0.0,33.9,33.9,100.0,0.0
60,0.55,0.6,0.0,33.9,33.9,100.0,0.0
60,0.6,0.6,0.0,33.9,33.9,100.0,0.0
60,0.65,0.6,0.0,33.9,33.9,100.0,0.0
60,0.7,0.6,0.0,33.9,33.9,100.0,0.0
60,0.75,0.6,0.0,33.9,33.9,100.0,0.0
60,0.8,0.6,0.0,33.9,33.9,100.0,0.0
60,0.85,0.6,0.0,33.9,33.9,100.0,0.0
60,0.9,0.6,0.0,33.9,33.9,100.0,0.0
60,0.95,0.6,0.0,33.9,33.9,100.0,0.0
60,1.0,0.6,0.0,33.9,33.9,100.0,0.0
120,0.0,0.52,0.0,0.0,33.2,0.0,0.0
120,0.005,0.52,0.0,10.3,33.2,31.024096385542165,0.0
120,0.01,0.52,0.0,16.2,33.2,48.795180722891565,0.0
120,0.015,0.52,0.0,20.1,33.2,60.54216867469879,0.0
120,0.02,0.52,0.0,22.8,33.2,68.67469879518072,0.0
120,0.025,0.52,0.0,24.8,33.2,74.69879518072288,0.0
120,0.03,0.52,0.0,26.4,33.2,79.51807228915662,0.0
120,0.035,0.52,0.0,27.5,33.2,82.83132530120481,0.0
120,0.04,0.52,0.0,28.5,33.2,85.84337349397589,0.0
120,0.045,0.52,0.0,29.2,33.2,87.95180722891565,0.0
120,0.05,0.52,0.0,29.9,33.2,90.0602409638554,0.0
120,0.055,0.52,0.0,30.3,33.2,91.26506024096385,0.0
120,0.06,0.52,0.0,30.8,33.2,92.7710843373494,0.0
120,0.08,0.52,0.0,31.8,33.2,95.78313253012047,0.0
120,0.1,0.52,0.0,32.4,33.2,97.59036144578313,0.0
120,0.12,0.52,0.0,32.7,33.2,98.49397590361446,0.0
120,0.14,0.52,0.0,32.9,33.2,99.09638554216866,0.0
120,0.16,0.52,0.0,33.0,33.2,99.39759036144578,0.0
